prefix,base_model_name,weighted_f1_class,weighted_f1_rel,weighted_score_relative,weighted_precision_attr_naive,weighted_recall_attr_naive,weighted_f1_attr_naive,weighted_precision_attr_syn,weighted_recall_attr_syn,weighted_f1_attr_syn,weighted_precision_attr_llm,weighted_recall_attr_llm,weighted_f1_attr_llm,weighted_f1_inh,f1_aggregated
CoT,deepseek-chat,0.6288,0.3769,0.2643,0.2775,0.2463,0.2573,0.3575,0.3169,0.3296,0.3625,0.3275,0.3376,0.2953,0.3806
one-shot,deepseek-chat,0.6349,0.3696,0.2892,0.2551,0.2703,0.259,0.3276,0.3476,0.334,0.3283,0.3355,0.3238,0.2752,0.3785
CoT-multi,claude-sonnet-4-6,0.5761,0.3478,0.2863,0.2825,0.2606,0.2675,0.3432,0.317,0.325,0.3812,0.3429,0.3551,0.3195,0.377
zero-shot,claude-sonnet-4-6,0.606,0.3699,0.2994,0.2672,0.2817,0.2679,0.3225,0.3458,0.325,0.3428,0.3694,0.3462,0.254,0.3751
CoT-multi,gpt-5.2,0.5662,0.3156,0.293,0.2409,0.2191,0.2278,0.305,0.2722,0.2842,0.3989,0.3406,0.3601,0.3123,0.3694
CoT,gemini-2.5-flash,0.569,0.3027,0.2827,0.2254,0.2208,0.2192,0.2814,0.2784,0.2737,0.3702,0.3701,0.3636,0.2993,0.3635
zero-shot,o3-mini,0.5693,0.3311,0.2507,0.2604,0.2494,0.2502,0.3393,0.3258,0.3267,0.3605,0.3403,0.3425,0.3214,0.363
CoT,gpt-5-nano,0.6069,0.3137,0.2716,0.2292,0.2481,0.235,0.3009,0.3315,0.3117,0.3224,0.3408,0.3239,0.2954,0.3623
zero-shot,codestral-2508,0.6185,0.3467,0.2178,0.2693,0.2757,0.2679,0.3414,0.348,0.3382,0.3202,0.3254,0.3159,0.2964,0.359
one-shot,o3-mini,0.5984,0.3208,0.2397,0.298,0.2884,0.2905,0.3655,0.3497,0.3539,0.3671,0.357,0.3566,0.2753,0.3582
two-shots,codestral-2508,0.635,0.35,0.2584,0.3073,0.2993,0.2983,0.3787,0.3614,0.3627,0.3404,0.3165,0.3195,0.2196,0.3565
CoT-multi,gpt-5-mini,0.5196,0.2705,0.2998,0.2385,0.2555,0.2437,0.2924,0.3198,0.3015,0.3103,0.3306,0.3123,0.3644,0.3533
one-shot,codestral-2508,0.6181,0.3498,0.2528,0.2533,0.2599,0.2543,0.333,0.3406,0.3332,0.3477,0.3448,0.34,0.1886,0.3499
zero-shot,gpt-5-nano,0.5698,0.3195,0.2523,0.2495,0.2786,0.2554,0.3131,0.3477,0.3208,0.2759,0.3072,0.2796,0.318,0.3478
CoT,codestral-2508,0.5911,0.3061,0.2143,0.2417,0.2494,0.2401,0.3024,0.316,0.3023,0.3403,0.358,0.3435,0.2777,0.3466
one-shot,gpt-5-nano,0.582,0.3249,0.2567,0.2641,0.2944,0.2733,0.3178,0.3512,0.3274,0.2974,0.3203,0.301,0.252,0.3433
two-shots,o3-mini,0.5871,0.3304,0.2503,0.2774,0.2742,0.2728,0.3309,0.3221,0.3231,0.3616,0.3512,0.3489,0.1961,0.3426
CoT,mistral-large-2411,0.6083,0.2932,0.2043,0.2186,0.211,0.2086,0.2624,0.2579,0.2528,0.3093,0.316,0.3035,0.2704,0.3359
CoT,o3-mini,0.6149,0.3196,0.2203,0.2896,0.2538,0.2651,0.3621,0.32,0.3327,0.3906,0.3328,0.3485,0.1684,0.3344
CoT-multi,gemini-2.5-flash,0.5494,0.3134,0.3031,0.1625,0.1649,0.1604,0.2067,0.2171,0.207,0.2244,0.2331,0.2236,0.2786,0.3336
one-shot,gpt-4o-mini,0.6235,0.3204,0.2114,0.2915,0.2668,0.2729,0.3534,0.3223,0.3301,0.3718,0.3318,0.3434,0.1383,0.3274
zero-shot,mistral-large-2411,0.6016,0.3257,0.2359,0.2969,0.2677,0.2684,0.3562,0.3206,0.3219,0.3638,0.3251,0.3225,0.1475,0.3266
CoT-multi,o3-mini,0.5843,0.2967,0.219,0.262,0.2354,0.243,0.3283,0.2946,0.3053,0.4131,0.3611,0.3756,0.152,0.3255
two-shots,gpt-5-nano,0.5606,0.2763,0.2149,0.2712,0.2946,0.2772,0.3238,0.3527,0.3319,0.3248,0.3471,0.3308,0.2366,0.3239
zero-shot,microsoft-phi-4,0.5632,0.289,0.1775,0.2301,0.2562,0.2378,0.2927,0.3253,0.3016,0.2973,0.3353,0.3099,0.2706,0.322
two-shots,mistral-large-2411,0.599,0.3418,0.2563,0.2796,0.2866,0.2791,0.3442,0.3429,0.336,0.3633,0.3483,0.345,0.0636,0.3212
CoT-multi,gpt-5-nano,0.4502,0.2364,0.2603,0.1734,0.209,0.1861,0.2391,0.2822,0.2533,0.3109,0.341,0.316,0.3258,0.3177
two-shots,microsoft-phi-4,0.5457,0.2458,0.1854,0.2484,0.2551,0.2489,0.2976,0.3063,0.2976,0.3548,0.3567,0.3511,0.2498,0.3155
CoT,gpt-4o-mini,0.5907,0.2596,0.1624,0.2544,0.2144,0.2268,0.318,0.2738,0.2872,0.3749,0.3284,0.3423,0.2208,0.3152
zero-shot,gpt-4o-mini,0.5965,0.2848,0.1822,0.2804,0.2432,0.2519,0.3552,0.3039,0.3166,0.3388,0.2947,0.3061,0.2038,0.3147
CoT-multi,mistral-large-2411,0.5247,0.2617,0.2154,0.2432,0.2128,0.2179,0.2912,0.2535,0.2585,0.3136,0.279,0.2816,0.2776,0.3122
zero-shot,mistral-small-2506,0.5688,0.2974,0.2041,0.2553,0.2662,0.253,0.3203,0.3381,0.3196,0.2819,0.3058,0.2846,0.1993,0.3108
two-shots,gpt-4o-mini,0.5866,0.2996,0.215,0.315,0.2918,0.2971,0.3623,0.3319,0.3405,0.353,0.3165,0.327,0.1128,0.3082
CoT-multi,codestral-2508,0.5305,0.2671,0.2261,0.2182,0.2314,0.2132,0.2929,0.3133,0.2907,0.3103,0.3218,0.3053,0.199,0.3056
one-shot,mistral-large-2411,0.5504,0.2862,0.213,0.2445,0.251,0.2452,0.3082,0.3188,0.3104,0.2955,0.3056,0.2979,0.1046,0.2904
two-shots,google-gemma-3-4b-it,0.5795,0.286,0.1818,0.2588,0.2639,0.2559,0.3027,0.3091,0.2997,0.3215,0.3202,0.3142,0.0698,0.2863
two-shots,Qwen-Qwen3.5-4B,0.5799,0.2824,0.1903,0.2834,0.3029,0.2898,0.3164,0.3602,0.3303,0.3047,0.3481,0.3186,0.0508,0.2844
two-shots,gpt-3.5-turbo,0.5428,0.2811,0.2079,0.2821,0.2646,0.2711,0.3335,0.3106,0.3189,0.3281,0.2979,0.3085,0.0796,0.284
one-shot,microsoft-phi-4,0.513,0.2416,0.165,0.1885,0.1945,0.1892,0.2576,0.2654,0.2571,0.2541,0.2567,0.2507,0.2377,0.2816
CoT,mistral-small-2506,0.5225,0.2516,0.18,0.1841,0.1943,0.1811,0.2471,0.2429,0.2257,0.2468,0.2458,0.2289,0.2224,0.2811
two-shots,mistral-small-2506,0.5102,0.2664,0.2497,0.2262,0.2503,0.2312,0.2541,0.2845,0.2617,0.2508,0.274,0.2542,0.1158,0.2793
one-shot,google-gemma-3-4b-it,0.5531,0.2566,0.1579,0.2587,0.2643,0.2582,0.302,0.3044,0.2983,0.3115,0.3078,0.3039,0.0698,0.2682
CoT,microsoft-phi-4,0.4269,0.2288,0.2329,0.1468,0.1749,0.1562,0.1877,0.2284,0.2013,0.1714,0.2138,0.1871,0.242,0.2635
one-shot,gpt-3.5-turbo,0.5051,0.2291,0.1803,0.2514,0.2238,0.231,0.3063,0.272,0.2822,0.3052,0.2673,0.2786,0.0933,0.2573
one-shot,mistral-small-2506,0.4278,0.2397,0.2315,0.1429,0.1645,0.1484,0.2009,0.2337,0.2098,0.1919,0.2194,0.1986,0.1584,0.2512
one-shot,Qwen-Qwen3.5-4B,0.5367,0.2384,0.1551,0.2597,0.2575,0.2547,0.2989,0.3313,0.3034,0.2773,0.3004,0.2791,0.0441,0.2507
zero-shot,Qwen-Qwen3.5-4B,0.5212,0.2572,0.1519,0.1934,0.2364,0.2086,0.2548,0.33,0.2789,0.2433,0.3189,0.2671,0.0508,0.2496
two-shots,Qwen-Qwen2.5-3B-Instruct,0.5292,0.2207,0.1632,0.2286,0.2571,0.2392,0.2803,0.3127,0.2892,0.2628,0.2907,0.2709,0.0624,0.2493
zero-shot,gpt-3.5-turbo,0.4782,0.241,0.1766,0.2355,0.2013,0.2113,0.2859,0.2411,0.2553,0.2986,0.2516,0.2643,0.085,0.249
CoT,gpt-3.5-turbo,0.4805,0.221,0.1579,0.2035,0.1894,0.1915,0.2469,0.2238,0.2279,0.2975,0.2803,0.2801,0.0886,0.2456
zero-shot,google-gemma-3-4b-it,0.5369,0.2296,0.1276,0.2104,0.2351,0.2177,0.252,0.2841,0.2617,0.2386,0.2662,0.246,0.0616,0.2403
one-shot,microsoft-Phi-4-mini-instruct,0.4474,0.1691,0.1513,0.1712,0.2314,0.1908,0.2153,0.2887,0.238,0.1942,0.2545,0.2136,0.1809,0.2324
one-shot,tiiuae-Falcon-H1-7B-Instruct,0.4728,0.2456,0.1958,0.1908,0.1756,0.1729,0.2458,0.2273,0.2233,0.2209,0.2023,0.1988,0.0263,0.2278
CoT-multi,gpt-4o-mini,0.4229,0.1806,0.1811,0.1625,0.1387,0.1453,0.2126,0.1834,0.1913,0.2245,0.1949,0.2015,0.1086,0.2189
CoT-multi,mistral-small-2506,0.369,0.191,0.2063,0.1315,0.1252,0.1234,0.1945,0.1663,0.1661,0.232,0.2014,0.1998,0.1269,0.2186
one-shot,Qwen-Qwen2.5-3B-Instruct,0.4558,0.1888,0.1482,0.1713,0.1991,0.1812,0.2195,0.2515,0.2297,0.1965,0.2204,0.2037,0.0879,0.2169
two-shots,mistralai-Mistral-7B-Instruct-v0.3,0.4428,0.2029,0.1539,0.1867,0.2123,0.1939,0.2077,0.2347,0.2155,0.2128,0.2507,0.2249,0.0582,0.2165
two-shots,microsoft-Phi-4-mini-instruct,0.3876,0.1744,0.1815,0.1508,0.1931,0.1665,0.1753,0.2274,0.1939,0.1713,0.2138,0.1866,0.1441,0.2148
one-shot,mistralai-Mistral-7B-Instruct-v0.3,0.4481,0.1987,0.1553,0.1671,0.1903,0.1735,0.1999,0.2316,0.2091,0.1993,0.2321,0.2087,0.0441,0.211
two-shots,tiiuae-Falcon-H1-7B-Instruct,0.4094,0.2238,0.2183,0.1913,0.168,0.1671,0.2211,0.197,0.1967,0.2123,0.1928,0.1913,0.0098,0.2105
zero-shot,tiiuae-Falcon-H1-7B-Instruct,0.395,0.2067,0.1801,0.1505,0.1675,0.1572,0.1957,0.2155,0.2026,0.1942,0.2092,0.1988,0.0507,0.2063
CoT-multi,gpt-3.5-turbo,0.3812,0.172,0.1363,0.1811,0.1596,0.1679,0.2504,0.206,0.2198,0.252,0.2174,0.2281,0.1016,0.2038
zero-shot,Qwen-Qwen2.5-3B-Instruct,0.439,0.1254,0.0784,0.0855,0.1151,0.0938,0.1616,0.2677,0.1916,0.1558,0.2628,0.1869,0.1345,0.1929
CoT-multi,mistralai-Mistral-7B-Instruct-v0.3,0.2039,0.1048,0.275,0.2353,0.2353,0.2353,0.2918,0.2918,0.2918,0.3529,0.3529,0.3529,0.0,0.1873
CoT,google-gemma-3-4b-it,0.4999,0.1835,0.079,0.051,0.0613,0.0545,0.0649,0.0761,0.0686,0.1068,0.1112,0.1048,0.0098,0.1754
CoT-multi,google-gemma-3-4b-it,0.411,0.1854,0.1074,0.0907,0.1265,0.1017,0.1014,0.1445,0.1158,0.151,0.2045,0.1668,0.0,0.1741
CoT,mistralai-Mistral-7B-Instruct-v0.3,0.2743,0.1525,0.1582,0.0586,0.0663,0.0611,0.1288,0.1615,0.1411,0.1722,0.2102,0.1843,0.0177,0.1574
zero-shot,meta-llama-Llama-3.2-3B-Instruct,0.3336,0.1145,0.1192,0.0997,0.127,0.1065,0.1353,0.1837,0.1478,0.1291,0.1706,0.1398,0.0412,0.1496
zero-shot,microsoft-Phi-4-mini-instruct,0.3167,0.1055,0.1252,0.0636,0.0886,0.0714,0.0879,0.1246,0.0993,0.0665,0.0951,0.0768,0.0811,0.1411
zero-shot,mistralai-Mistral-7B-Instruct-v0.3,0.3074,0.1196,0.1209,0.0911,0.1063,0.0968,0.1273,0.1461,0.1314,0.1373,0.1529,0.1391,0.0,0.1374
CoT-multi,microsoft-phi-4,0.1597,0.0741,0.2308,0.048,0.0498,0.0463,0.0678,0.0675,0.0614,0.0818,0.0774,0.0702,0.1042,0.1278
one-shot,deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,0.2777,0.1028,0.1176,0.0753,0.0838,0.0771,0.1053,0.1155,0.1069,0.1102,0.1263,0.114,0.0104,0.1245
two-shots,meta-llama-Llama-3.2-3B-Instruct,0.1882,0.0814,0.2511,0.0728,0.1022,0.0842,0.0836,0.1184,0.0969,0.0799,0.1134,0.0927,0.0,0.1227
two-shots,deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,0.2732,0.0554,0.0936,0.0972,0.1334,0.1098,0.1186,0.1651,0.1353,0.122,0.1718,0.1395,0.0,0.1124
CoT,microsoft-Phi-4-mini-instruct,0.2182,0.1052,0.113,0.0301,0.0714,0.0409,0.0548,0.137,0.075,0.0708,0.1656,0.0943,0.0116,0.1085
one-shot,meta-llama-Llama-3.2-3B-Instruct,0.2067,0.0666,0.1805,0.0517,0.0757,0.0582,0.0662,0.1015,0.0758,0.0608,0.0903,0.069,0.0,0.1046
CoT-multi,meta-llama-Llama-3.2-3B-Instruct,0.3172,0.0,0.0,0.0728,0.1368,0.0933,0.1077,0.1954,0.134,0.1558,0.2798,0.1949,0.0,0.1024
CoT,meta-llama-Llama-3.2-3B-Instruct,0.2465,0.0163,0.0214,0.0254,0.0308,0.0267,0.039,0.0704,0.047,0.0464,0.0889,0.0575,0.0314,0.0746
CoT-multi,microsoft-Phi-4-mini-instruct,0.1628,0.0222,0.0286,0.0467,0.0631,0.0509,0.0737,0.1275,0.0879,0.0713,0.1347,0.0874,0.0,0.0602
zero-shot,deepseek-ai-DeepSeek-R1-Distill-Qwen-7B,0.1157,0.0415,0.0852,0.0341,0.043,0.0374,0.0501,0.059,0.0513,0.0538,0.0553,0.0517,0.0,0.0588
CoT-multi,Qwen-Qwen2.5-3B-Instruct,0.0119,0.0053,0.1091,0.0042,0.0083,0.0055,0.0042,0.0083,0.0055,0.0058,0.0116,0.0077,0.0,0.0268
