sub_folder_name,model_name,precision_class,recall_class,f1_class,n_classes,precision_rel,recall_rel,f1_rel,score_rel,max_score,n_rel,exception_occurred
CelO,few-claude-3-7-sonnet-20250219,0.83,0.5,0.62,10,0.57,0.29,0.38,12,70,14,False
CelO,few2-o3-mini,1.0,0.6,0.75,10,0.83,0.36,0.5,15,70,14,False
CelO,cot2-claude-sonnet-4-5-20250929,0.62,0.5,0.56,10,0.5,0.36,0.42,14,70,14,False
CelO,gpt-5,0.62,0.5,0.56,10,0.3,0.21,0.25,11,70,14,False
CelO,few2-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.75,0.6,0.67,10,0.23,0.21,0.22,5,70,14,False
CelO,cot-deepseek-chat,0.86,0.6,0.71,10,0.27,0.21,0.24,9,70,14,False
CelO,cot2-gpt-4o-mini,0.36,0.4,0.38,10,0.4,0.29,0.33,11,70,14,False
CelO,few2-gpt-4o-mini,0.67,0.4,0.5,10,0.38,0.21,0.27,6,70,14,False
CelO,few2-gpt-4o,1.0,0.5,0.67,10,0.67,0.29,0.4,9,70,14,False
CelO,mistral-large-2411,0.83,0.5,0.62,10,0.57,0.29,0.38,11,70,14,False
CelO,few-gpt-4o-mini,0.67,0.4,0.5,10,0.5,0.21,0.3,6,70,14,False
CelO,few2-gemini-2.5-flash,0.67,0.6,0.63,10,0.33,0.21,0.26,9,70,14,False
CelO,cot-mlx-community-gemma-3-4b-it-5bit,1.0,0.4,0.57,10,0.2,0.07,0.11,3,70,14,False
CelO,cot2-gemini-2.5-flash,0.57,0.4,0.47,10,0.36,0.29,0.32,8,70,14,False
CelO,cot2-mlx-community-phi-4-8bit,0.56,0.5,0.53,10,0.22,0.14,0.17,6,70,14,False
CelO,few2-mlx-community-phi-4-8bit,0.83,0.5,0.62,10,0.67,0.29,0.4,9,70,14,False
CelO,few2-mistral-large-2411,0.83,0.5,0.62,10,0.57,0.29,0.38,11,70,14,False
CelO,mlx-community-Falcon3-10B-Instruct-6bit,0.13,0.4,0.2,10,0.14,0.29,0.19,8,70,14,False
CelO,few-o3-mini,1.0,0.6,0.75,10,0.71,0.36,0.48,11,70,14,False
CelO,few-gpt-5,0.62,0.5,0.56,10,0.33,0.21,0.26,9,70,14,False
CelO,cot-mlx-community-phi-4-8bit,0.62,0.5,0.56,10,0.21,0.29,0.24,10,70,14,False
CelO,cot-codestral-2508,0.62,0.5,0.56,10,0.14,0.14,0.14,7,70,14,False
CelO,gpt-3.5-turbo,0.83,0.5,0.62,10,0.5,0.29,0.36,9,70,14,False
CelO,few2-gpt-5-nano,0.5,0.5,0.5,10,0.27,0.21,0.24,4,70,14,False
CelO,claude-sonnet-4-5-20250929,0.62,0.5,0.56,10,0.44,0.29,0.35,10,70,14,False
CelO,cot2-mistral-small-2506,0.56,0.5,0.53,10,0.2,0.14,0.17,6,70,14,False
CelO,cot-gemini-2.5-flash,0.71,0.5,0.59,10,0.38,0.36,0.37,9,70,14,False
CelO,mlx-community-Llama-3.2-3B-Instruct-4bit,0.67,0.4,0.5,10,0.18,0.64,0.28,27,70,14,False
CelO,few2-mistral-small-2506,0.71,0.5,0.59,10,0.38,0.21,0.27,9,70,14,False
CelO,cot-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,14,True
CelO,few2-mlx-community-Llama-3.2-3B-Instruct-4bit,0.67,0.4,0.5,10,0.15,0.14,0.15,5,70,14,False
CelO,cot-gpt-4o,0.8,0.4,0.53,10,0.57,0.29,0.38,10,70,14,False
CelO,codestral-2508,0.71,0.5,0.59,10,1.0,0.71,0.83,24,70,14,False
CelO,gpt-4o-mini,1.0,0.5,0.67,10,0.67,0.29,0.4,10,70,14,False
CelO,few2-gpt-3.5-turbo,0.8,0.4,0.53,10,0.67,0.29,0.4,10,70,14,False
CelO,cot2-mlx-community-Llama-3.2-3B-Instruct-4bit,0.33,0.4,0.36,10,0.07,0.07,0.07,1,70,14,False
CelO,mlx-community-phi-4-8bit,0.83,0.5,0.62,10,0.57,0.29,0.38,11,70,14,False
CelO,cot-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.83,0.5,0.62,10,0.57,0.29,0.38,11,70,14,False
CelO,few2-gpt-5,0.62,0.5,0.56,10,0.33,0.21,0.26,4,70,14,False
CelO,cot2-mistral-large-2411,0.5,0.4,0.44,10,0.4,0.29,0.33,9,70,14,False
CelO,cot2-mlx-community-Falcon3-10B-Instruct-6bit,0.17,0.4,0.24,10,0,0,0,0,70,14,False
CelO,few-mlx-community-Llama-3.2-3B-Instruct-4bit,0.5,0.4,0.44,10,0.12,0.07,0.09,4,70,14,False
CelO,gpt-5-mini,0.86,0.6,0.71,10,0.33,0.21,0.26,5,70,14,False
CelO,few-mlx-community-Falcon3-10B-Instruct-6bit,0.67,0.4,0.5,10,0.17,0.07,0.1,3,70,14,False
CelO,o3-mini,1.0,0.5,0.67,10,0.8,0.29,0.42,8,70,14,False
CelO,mlx-community-gemma-3-4b-it-5bit,0.75,0.3,0.43,10,0.17,0.07,0.1,4,70,14,False
CelO,cot-gpt-4o-mini,1.0,0.5,0.67,10,0.4,0.14,0.21,7,70,14,False
CelO,cot-gpt-5-mini,0.43,0.3,0.35,10,0.22,0.14,0.17,2,70,14,False
CelO,cot2-gpt-5-nano,0.31,0.5,0.38,10,0.13,0.14,0.14,3,70,14,False
CelO,few-claude-sonnet-4-5-20250929,0.62,0.5,0.56,10,0.33,0.21,0.26,12,70,14,False
CelO,few-gpt-3.5-turbo,1.0,0.5,0.67,10,0.8,0.29,0.42,9,70,14,False
CelO,few2-deepseek-chat,0.86,0.6,0.71,10,0.43,0.21,0.29,9,70,14,False
CelO,cot-o3-mini,1.0,0.5,0.67,10,0.4,0.14,0.21,4,70,14,False
CelO,deepseek-chat,0.56,0.5,0.53,10,0.56,0.36,0.43,13,70,14,False
CelO,cot2-gpt-4o,0.62,0.5,0.56,10,0.5,0.29,0.36,10,70,14,False
CelO,claude-3-7-sonnet-20250219,1.0,0.5,0.67,10,0.67,0.29,0.4,12,70,14,False
CelO,mistral-small-2506,1.0,0.6,0.75,10,0.71,0.36,0.48,11,70,14,False
CelO,few2-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.67,0.4,0.5,10,0.12,0.07,0.09,3,70,14,False
CelO,cot2-mlx-community-gemma-3-4b-it-5bit,0.8,0.4,0.53,10,0.25,0.07,0.11,1,70,14,False
CelO,cot-claude-3-7-sonnet-20250219,0.83,0.5,0.62,10,0.5,0.29,0.36,10,70,14,False
CelO,cot2-o3-mini,0.56,0.5,0.53,10,0.33,0.21,0.26,5,70,14,False
CelO,few-mistral-small-2506,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,14,True
CelO,mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.86,0.6,0.71,10,0.42,0.36,0.38,11,70,14,False
CelO,cot-mlx-community-Llama-3.2-3B-Instruct-4bit,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,14,True
CelO,few-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.67,0.4,0.5,10,0.33,0.21,0.26,6,70,14,False
CelO,cot2-gpt-5-mini,0.25,0.2,0.22,10,0.08,0.07,0.08,1,70,14,False
CelO,cot2-deepseek-chat,0.62,0.5,0.56,10,0.36,0.29,0.32,11,70,14,False
CelO,few-deepseek-chat,0.62,0.5,0.56,10,0.33,0.21,0.26,10,70,14,False
CelO,cot-mistral-large-2411,1.0,0.5,0.67,10,0.67,0.29,0.4,8,70,14,False
TeamSportsScoutingSystem,cot2-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
CelO,gemini-2.5-flash,0.56,0.5,0.53,10,0.33,0.21,0.26,6,70,14,False
CelO,few2-mlx-community-gemma-3-4b-it-5bit,0.8,0.4,0.53,10,0.14,0.07,0.1,4,70,14,False
CelO,few-gpt-4-turbo,0.67,0.4,0.5,10,0.5,0.21,0.3,8,70,14,False
CelO,cot2-gpt-3.5-turbo,0.71,0.5,0.59,10,0.57,0.29,0.38,11,70,14,False
CelO,cot-gpt-5-nano,0.75,0.6,0.67,10,0.56,0.36,0.43,9,70,14,False
CelO,gpt-5-nano,0.83,0.5,0.62,10,0.8,0.29,0.42,12,70,14,False
CelO,cot2-codestral-2508,0.56,0.5,0.53,10,0.22,0.14,0.17,8,70,14,False
CelO,cot-gpt-5,0.67,0.4,0.5,10,0.25,0.14,0.18,2,70,14,False
CelO,few2-mlx-community-Falcon3-10B-Instruct-6bit,1.0,0.5,0.67,10,0.2,0.07,0.11,3,70,14,False
CelO,cot2-gpt-4-turbo,0.56,0.5,0.53,10,0.4,0.29,0.33,11,70,14,False
CelO,few-gemini-2.5-flash,0.56,0.5,0.53,10,0.27,0.21,0.24,3,70,14,False
CelO,cot2-gpt-5,0.33,0.3,0.32,10,0.18,0.14,0.16,8,70,14,False
CelO,few2-gpt-4-turbo,0.83,0.5,0.62,10,0.88,0.5,0.64,14,70,14,False
CelO,few-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.75,0.6,0.67,10,0.45,0.36,0.4,8,70,14,False
CelO,few2-claude-3-7-sonnet-20250219,0.86,0.6,0.71,10,0.62,0.36,0.45,16,70,14,False
TeamSportsScoutingSystem,cot2-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
TeamSportsScoutingSystem,few2-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.57,0.36,0.44,11,0.14,0.06,0.08,1,85,17,False
CelO,cot2-claude-3-7-sonnet-20250219,0.83,0.5,0.62,10,0.5,0.29,0.36,10,70,14,False
TeamSportsScoutingSystem,cot2-claude-sonnet-4-5-20250929,0.5,0.73,0.59,11,0.42,0.47,0.44,11,85,17,False
TeamSportsScoutingSystem,cot-mlx-community-Falcon3-10B-Instruct-6bit,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
TeamSportsScoutingSystem,few2-claude-sonnet-4-5-20250929,0.58,0.64,0.61,11,0.21,0.18,0.19,10,85,17,False
TeamSportsScoutingSystem,few-gpt-5-nano,0.67,0.73,0.7,11,0.44,0.24,0.31,5,85,17,False
TeamSportsScoutingSystem,few-mlx-community-phi-4-8bit,0.58,0.64,0.61,11,0.31,0.24,0.27,6,85,17,False
TeamSportsScoutingSystem,mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
TeamSportsScoutingSystem,gpt-5,0.5,0.73,0.59,11,0.33,0.41,0.37,14,85,17,False
TeamSportsScoutingSystem,few-mistral-large-2411,0.55,0.55,0.55,11,0.15,0.12,0.13,2,85,17,False
TeamSportsScoutingSystem,few2-codestral-2508,0.64,0.64,0.64,11,0.25,0.18,0.21,3,85,17,False
TeamSportsScoutingSystem,cot-gpt-3.5-turbo,0.38,0.45,0.42,11,0.08,0.06,0.07,1,85,17,False
TeamSportsScoutingSystem,cot-gpt-4-turbo,0.5,0.55,0.52,11,0.15,0.18,0.16,3,85,17,False
TeamSportsScoutingSystem,few2-gpt-5-mini,0.54,0.64,0.58,11,0.24,0.24,0.24,7,85,17,False
TeamSportsScoutingSystem,few2-o3-mini,0.46,0.55,0.5,11,0.14,0.12,0.13,4,85,17,False
TeamSportsScoutingSystem,few-gpt-4o,0.6,0.55,0.57,11,0.3,0.18,0.22,5,85,17,False
TeamSportsScoutingSystem,gpt-4-turbo,0.5,0.55,0.52,11,0.2,0.12,0.15,2,85,17,False
TeamSportsScoutingSystem,cot2-gpt-4o-mini,0.22,0.45,0.29,11,0.07,0.06,0.06,1,85,17,False
TeamSportsScoutingSystem,few-mlx-community-gemma-3-4b-it-5bit,0.75,0.55,0.63,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,few-codestral-2508,0.58,0.64,0.61,11,0.19,0.18,0.18,3,85,17,False
TeamSportsScoutingSystem,cot-deepseek-chat,0.47,0.64,0.54,11,0.24,0.24,0.24,6,85,17,False
TeamSportsScoutingSystem,few-claude-3-7-sonnet-20250219,0.57,0.73,0.64,11,0.32,0.35,0.33,15,85,17,False
TeamSportsScoutingSystem,gpt-4o,0.35,0.64,0.45,11,0.14,0.18,0.15,3,85,17,False
TeamSportsScoutingSystem,cot-mistral-small-2506,0.53,0.73,0.62,11,0.19,0.18,0.18,3,85,17,False
TeamSportsScoutingSystem,cot-claude-sonnet-4-5-20250929,0.57,0.73,0.64,11,0.44,0.41,0.42,13,85,17,False
TeamSportsScoutingSystem,few2-gemini-2.5-flash,0.64,0.64,0.64,11,0.31,0.29,0.3,9,85,17,False
TeamSportsScoutingSystem,few2-gpt-4o-mini,0.5,0.55,0.52,11,0.18,0.12,0.14,2,85,17,False
TeamSportsScoutingSystem,few-gpt-5-mini,0.47,0.64,0.54,11,0.24,0.24,0.24,8,85,17,False
TeamSportsScoutingSystem,mistral-large-2411,0.5,0.64,0.56,11,0.08,0.06,0.07,1,85,17,False
TeamSportsScoutingSystem,cot2-mistral-small-2506,0.46,0.55,0.5,11,0.17,0.35,0.23,6,85,17,False
TeamSportsScoutingSystem,cot-mlx-community-gemma-3-4b-it-5bit,0.33,0.36,0.35,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,few-o3-mini,0.54,0.64,0.58,11,0.2,0.18,0.19,5,85,17,False
TeamSportsScoutingSystem,few-gpt-4o-mini,0.55,0.55,0.55,11,0.23,0.18,0.2,3,85,17,False
TeamSportsScoutingSystem,claude-sonnet-4-5-20250929,0.33,0.45,0.38,11,0.17,0.24,0.2,7,85,17,False
TeamSportsScoutingSystem,cot-gpt-4o,0.43,0.55,0.48,11,0.07,0.06,0.06,1,85,17,False
TeamSportsScoutingSystem,mlx-community-Falcon3-10B-Instruct-6bit,0.33,0.45,0.38,11,0.08,0.06,0.07,1,85,17,False
TeamSportsScoutingSystem,cot2-mlx-community-Llama-3.2-3B-Instruct-4bit,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
TeamSportsScoutingSystem,cot-gemini-2.5-flash,0.67,0.73,0.7,11,0.5,0.53,0.51,16,85,17,False
TeamSportsScoutingSystem,cot-mlx-community-phi-4-8bit,0.25,0.36,0.3,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,cot2-gemini-2.5-flash,0.75,0.82,0.78,11,0.59,0.59,0.59,15,85,17,False
TeamSportsScoutingSystem,few2-gpt-4o,0.67,0.55,0.6,11,0.25,0.12,0.16,6,85,17,False
TeamSportsScoutingSystem,cot-codestral-2508,0.43,0.55,0.48,11,0.21,0.24,0.22,6,85,17,False
TeamSportsScoutingSystem,few2-mlx-community-Llama-3.2-3B-Instruct-4bit,0.67,0.36,0.47,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,few2-gpt-5-nano,0.58,0.64,0.61,11,0.31,0.24,0.27,5,85,17,False
TeamSportsScoutingSystem,few2-mistral-large-2411,0.62,0.73,0.67,11,0.29,0.24,0.26,5,85,17,False
TeamSportsScoutingSystem,few-gpt-5,0.5,0.64,0.56,11,0.18,0.24,0.21,11,85,17,False
TeamSportsScoutingSystem,cot-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.57,0.36,0.44,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,few2-mistral-small-2506,0.38,0.45,0.42,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,few2-mlx-community-phi-4-8bit,0.67,0.55,0.6,11,0.36,0.24,0.29,8,85,17,False
TeamSportsScoutingSystem,mlx-community-phi-4-8bit,0.4,0.55,0.46,11,0.19,0.18,0.18,5,85,17,False
TeamSportsScoutingSystem,gpt-4o-mini,0.5,0.55,0.52,11,0.17,0.12,0.14,2,85,17,False
TeamSportsScoutingSystem,few2-gpt-3.5-turbo,0.46,0.55,0.5,11,0.21,0.18,0.19,5,85,17,False
TeamSportsScoutingSystem,gpt-3.5-turbo,0.62,0.45,0.53,11,0.09,0.06,0.07,1,85,17,False
TeamSportsScoutingSystem,cot-gpt-5-mini,0.55,0.55,0.55,11,0.27,0.24,0.25,7,85,17,False
TeamSportsScoutingSystem,cot2-mlx-community-phi-4-8bit,0.32,0.73,0.44,11,0.2,0.29,0.24,5,85,17,False
TeamSportsScoutingSystem,codestral-2508,0.55,0.55,0.55,11,0.25,0.18,0.21,3,85,17,False
TeamSportsScoutingSystem,few2-gpt-5,0.62,0.73,0.67,11,0.3,0.35,0.32,17,85,17,False
TeamSportsScoutingSystem,cot-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
TeamSportsScoutingSystem,mistral-small-2506,0.54,0.64,0.58,11,0.18,0.18,0.18,3,85,17,False
TeamSportsScoutingSystem,cot2-gpt-5-nano,0.25,0.64,0.36,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,few2-deepseek-chat,0.58,0.64,0.61,11,0.23,0.18,0.2,7,85,17,False
TeamSportsScoutingSystem,gpt-5-mini,0.5,0.73,0.59,11,0.25,0.35,0.29,9,85,17,False
TeamSportsScoutingSystem,o3-mini,0.54,0.64,0.58,11,0.21,0.18,0.19,6,85,17,False
TeamSportsScoutingSystem,cot-gpt-4o-mini,0.38,0.27,0.32,11,0.11,0.06,0.08,3,85,17,False
TeamSportsScoutingSystem,claude-3-7-sonnet-20250219,0.33,0.45,0.38,11,0.2,0.24,0.22,7,85,17,False
TeamSportsScoutingSystem,cot2-mlx-community-Falcon3-10B-Instruct-6bit,0.44,0.64,0.52,11,0.27,0.24,0.25,8,85,17,False
TeamSportsScoutingSystem,few-mlx-community-Falcon3-10B-Instruct-6bit,0.75,0.55,0.63,11,0.43,0.18,0.25,3,85,17,False
TeamSportsScoutingSystem,cot-o3-mini,0.67,0.36,0.47,11,0.5,0.18,0.26,7,85,17,False
TeamSportsScoutingSystem,few-mlx-community-Llama-3.2-3B-Instruct-4bit,0.22,0.36,0.28,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,cot2-o3-mini,0.33,0.27,0.3,11,0.11,0.06,0.08,5,85,17,False
TeamSportsScoutingSystem,cot2-gpt-4o,0.47,0.64,0.54,11,0.29,0.24,0.26,7,85,17,False
TeamSportsScoutingSystem,cot2-mistral-large-2411,0.7,0.64,0.67,11,0.2,0.12,0.15,4,85,17,False
TeamSportsScoutingSystem,few2-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.62,0.45,0.53,11,0.33,0.18,0.23,9,85,17,False
TeamSportsScoutingSystem,few-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.71,0.45,0.56,11,0.33,0.12,0.17,4,85,17,False
TeamSportsScoutingSystem,deepseek-chat,0.47,0.64,0.54,11,0.18,0.24,0.21,6,85,17,False
TeamSportsScoutingSystem,few-gpt-3.5-turbo,0.64,0.64,0.64,11,0.3,0.18,0.22,3,85,17,False
TeamSportsScoutingSystem,mlx-community-gemma-3-4b-it-5bit,0.62,0.45,0.53,11,0.12,0.06,0.08,1,85,17,False
TeamSportsScoutingSystem,mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.55,0.55,0.55,11,0.1,0.12,0.11,2,85,17,False
TeamSportsScoutingSystem,cot-claude-3-7-sonnet-20250219,0.47,0.64,0.54,11,0.3,0.35,0.32,9,85,17,False
TeamSportsScoutingSystem,cot-mlx-community-Llama-3.2-3B-Instruct-4bit,0.57,0.36,0.44,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,cot2-mlx-community-gemma-3-4b-it-5bit,0.6,0.27,0.37,11,0,0,0,0,85,17,False
TeamSportsScoutingSystem,few-claude-sonnet-4-5-20250929,0.58,0.64,0.61,11,0.31,0.24,0.27,11,85,17,False
TeamSportsScoutingSystem,cot2-deepseek-chat,0.53,0.73,0.62,11,0.27,0.24,0.25,11,85,17,False
TeamSportsScoutingSystem,gpt-5-nano,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
TeamSportsScoutingSystem,cot-gpt-5-nano,0.57,0.73,0.64,11,0.35,0.35,0.35,8,85,17,False
TeamSportsScoutingSystem,cot-mistral-large-2411,0.6,0.55,0.57,11,0.1,0.06,0.07,4,85,17,False
TeamSportsScoutingSystem,cot2-codestral-2508,0.44,0.64,0.52,11,0.19,0.18,0.18,6,85,17,False
TeamSportsScoutingSystem,cot2-gpt-5-mini,0.42,0.45,0.43,11,0.11,0.12,0.11,7,85,17,False
TeamSportsScoutingSystem,few-deepseek-chat,0.54,0.64,0.58,11,0.2,0.18,0.19,5,85,17,False
TeamSportsScoutingSystem,cot-gpt-5,0.45,0.45,0.45,11,0.27,0.18,0.21,4,85,17,False
TeamSportsScoutingSystem,few2-mlx-community-gemma-3-4b-it-5bit,0.71,0.45,0.56,11,0.4,0.12,0.18,2,85,17,False
TeamSportsScoutingSystem,few-mistral-small-2506,0.58,0.64,0.61,11,0.21,0.18,0.19,4,85,17,False
LabTracker,cot2-mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,13,True
TeamSportsScoutingSystem,cot2-gpt-5,0.53,0.82,0.64,11,0.26,0.29,0.28,15,85,17,False
TeamSportsScoutingSystem,few2-mlx-community-Falcon3-10B-Instruct-6bit,0.78,0.64,0.7,11,0.27,0.18,0.21,5,85,17,False
TeamSportsScoutingSystem,cot2-gpt-3.5-turbo,0.43,0.55,0.48,11,0.1,0.06,0.07,3,85,17,False
TeamSportsScoutingSystem,few-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.57,0.36,0.44,11,0.14,0.06,0.08,1,85,17,False
TeamSportsScoutingSystem,cot2-gpt-4-turbo,0.6,0.55,0.57,11,0.62,0.47,0.53,13,85,17,False
LabTracker,cot2-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,13,True
TeamSportsScoutingSystem,gemini-2.5-flash,0.57,0.73,0.64,11,0.35,0.41,0.38,8,85,17,False
TeamSportsScoutingSystem,few2-gpt-4-turbo,0.78,0.64,0.7,11,0.29,0.12,0.17,2,85,17,False
TeamSportsScoutingSystem,few2-claude-3-7-sonnet-20250219,0.78,0.64,0.7,11,0.56,0.29,0.38,14,85,17,False
TeamSportsScoutingSystem,few-gpt-4-turbo,0.56,0.45,0.5,11,0.1,0.06,0.07,1,85,17,False
TeamSportsScoutingSystem,few-gemini-2.5-flash,0.57,0.73,0.64,11,0.37,0.41,0.39,15,85,17,False
LabTracker,few-mlx-community-phi-4-8bit,0.67,0.5,0.57,12,0.33,0.23,0.27,9,65,13,False
LabTracker,few2-claude-sonnet-4-5-20250929,0.78,0.58,0.67,12,0.27,0.23,0.25,9,65,13,False
LabTracker,cot2-claude-sonnet-4-5-20250929,0.67,0.5,0.57,12,0.33,0.23,0.27,9,65,13,False
LabTracker,gpt-5,0.4,0.5,0.44,12,0.17,0.23,0.19,3,65,13,False
LabTracker,cot-mlx-community-Falcon3-10B-Instruct-6bit,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,13,True
LabTracker,few-gpt-5-nano,0.75,0.5,0.6,12,0.33,0.23,0.27,3,65,13,False
TeamSportsScoutingSystem,cot2-claude-3-7-sonnet-20250219,0.56,0.82,0.67,11,0.47,0.47,0.47,11,85,17,False
LabTracker,few-mistral-large-2411,0.75,0.5,0.6,12,0.38,0.23,0.29,5,65,13,False
LabTracker,cot-gpt-4-turbo,1.0,0.5,0.67,12,0.67,0.31,0.42,7,65,13,False
LabTracker,few2-o3-mini,0.75,0.5,0.6,12,0.38,0.23,0.29,9,65,13,False
LabTracker,few-codestral-2508,0.67,0.5,0.57,12,0.3,0.23,0.26,9,65,13,False
LabTracker,few2-mlx-community-Qwen3-4B-Instruct-2507-4bit-DWQ-2510,0.75,0.5,0.6,12,0.56,0.38,0.45,8,65,13,False
LabTracker,cot-gpt-3.5-turbo,0.86,0.5,0.63,12,0.38,0.23,0.29,9,65,13,False
LabTracker,mlx-community-Mistral-7B-Instruct-v0.3-4bit,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,13,True
LabTracker,few-claude-3-7-sonnet-20250219,0.67,0.5,0.57,12,0.27,0.23,0.25,9,65,13,False
LabTracker,few2-codestral-2508,0.67,0.5,0.57,12,0.38,0.23,0.29,9,65,13,False
TeamSportsScoutingSystem,mlx-community-Llama-3.2-3B-Instruct-4bit,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17,True
LabTracker,few-mlx-community-gemma-3-4b-it-5bit,1.0,0.5,0.67,12,0.57,0.31,0.4,8,65,13,False
LabTracker,few-gpt-4o,0.75,0.5,0.6,12,0.38,0.23,0.29,7,65,13,False
LabTracker,cot-deepseek-chat,0.7,0.58,0.64,12,0.21,0.23,0.22,5,65,13,False
LabTracker,cot-mistral-small-2506,0.35,0.5,0.41,12,0.14,0.23,0.18,8,65,13,False
LabTracker,few2-gpt-5-mini,0.6,0.5,0.55,12,0.23,0.23,0.23,7,65,13,False
LabTracker,cot2-gpt-4o-mini,0.43,0.5,0.46,12,0.36,0.31,0.33,9,65,13,False
LabTracker,mistral-large-2411,0.86,0.5,0.63,12,0.38,0.23,0.29,9,65,13,False
