base_model_name,result_type,sum_weighted_f1_class,sum_weighted_f1_rel,total_weight_class,total_weight_rel,sum_weighted_norm_score,total_weight_norm,score_relative_avg,weighted_f1_class_avg,weighted_f1_rel_avg,normalized_score_avg,f1_aggregated
gpt-4-turbo,two-shots,258.4,156.3,460,473,341.0,2150,7.5777777777777775,0.5617391304347825,0.3304439746300212,0.1586046511627907,0.35026258540919814
gpt-4-turbo,zero-shot,279.02,188.61,460,473,459.0,2365,10.2,0.6065652173913043,0.3987526427061311,0.19408033826638477,0.3997993994546067
gpt-4o,CoT,260.98,142.66,460,473,305.0,2315,6.777777777777778,0.5673478260869566,0.30160676532769554,0.13174946004319654,0.33356801715261625
gpt-4o,CoT-multi,263.52,144.02,460,473,318.0,2365,7.066666666666666,0.5728695652173913,0.30448202959830867,0.13446088794926003,0.33727082758832
gpt-4o,one-shot,262.42,154.74,460,473,354.0,2300,7.866666666666666,0.5704782608695652,0.32714587737843553,0.15391304347826087,0.35051239390875394
gpt-4o,two-shots,272.08,165.64000000000001,460,473,362.0,2365,8.044444444444444,0.5914782608695652,0.35019027484143767,0.15306553911205073,0.3649113582743512
gpt-4o,zero-shot,261.48,159.2,460,473,387.0,2315,8.6,0.5684347826086957,0.3365750528541226,0.16717062634989202,0.3573934872709035
gpt-4o-mini,CoT,277.3,144.77,460,473,279.0,2365,6.2,0.6028260869565217,0.3060676532769556,0.11797040169133192,0.3422880473082697
gpt-4o-mini,CoT-multi,214.84,119.18,460,473,290.0,2320,6.444444444444445,0.46704347826086956,0.2519661733615222,0.125,0.28133655054079726
gpt-4o-mini,one-shot,267.53000000000003,159.99,460,473,350.0,2365,7.777777777777778,0.5815869565217392,0.3382452431289641,0.14799154334038056,0.35594124766369467
gpt-4o-mini,two-shots,273.69,169.12,460,473,362.0,2365,8.044444444444444,0.5949782608695652,0.3575475687103594,0.15306553911205073,0.36853045623065844
gpt-4o-mini,zero-shot,271.71,166.26,460,473,343.0,2365,7.622222222222222,0.5906739130434783,0.35150105708245244,0.14503171247357294,0.3624022275331679
gpt-5,CoT,274.52,146.43,460,473,220.0,2310,4.888888888888889,0.5967826086956521,0.3095771670190275,0.09523809523809523,0.3338659569842583
gpt-5,CoT-multi,252.62,146.08,460,473,454.0,2290,10.088888888888889,0.5491739130434783,0.3088372093023256,0.19825327510917032,0.3520881324849914
gpt-5,one-shot,172.84,106.68,460,473,336.0,1595,7.466666666666667,0.37573913043478263,0.22553911205073998,0.21065830721003134,0.27064551656518465
gpt-5,two-shots,276.94,171.34,460,473,524.0,2365,11.644444444444444,0.6020434782608696,0.3622410147991543,0.2215644820295983,0.39528299169654074
gpt-5,zero-shot,269.93,186.86,460,473,537.0,2330,11.933333333333334,0.5868043478260869,0.3950528541226216,0.23047210300429186,0.4041097683176668
gpt-5-mini,CoT,274.71,159.99,460,473,264.0,2365,5.866666666666666,0.597195652173913,0.3382452431289641,0.11162790697674418,0.3490229340932071
gpt-5-mini,CoT-multi,249.13,141.99,460,473,395.0,2365,8.777777777777779,0.5415869565217392,0.3001902748414377,0.16701902748414377,0.33626541961577355
gpt-5-mini,one-shot,267.17,166.41,460,473,461.0,2330,10.244444444444444,0.580804347826087,0.3518181818181818,0.19785407725321888,0.3768255356324959
gpt-5-mini,two-shots,271.74,175.5,460,473,488.0,2330,10.844444444444445,0.5907391304347827,0.37103594080338265,0.2094420600858369,0.3904057104413341
gpt-5-mini,zero-shot,270.5,182.69,460,473,504.0,2330,11.2,0.5880434782608696,0.3862367864693446,0.21630901287553647,0.39686309253525026
gpt-5-nano,CoT,274.37,165.93,460,473,265.0,2335,5.888888888888889,0.5964565217391304,0.3508033826638478,0.11349036402569593,0.35358342280955807
gpt-5-nano,CoT-multi,223.79,124.35,460,473,333.0,2240,7.4,0.4865,0.26289640591966174,0.14866071428571428,0.299352373401792
gpt-5-nano,one-shot,260.99,154.66,460,473,381.0,2310,8.466666666666667,0.5673695652173913,0.3269767441860465,0.16493506493506493,0.3530937914461676
gpt-5-nano,two-shots,266.25,160.38,460,473,375.0,2345,8.333333333333334,0.5788043478260869,0.33906976744186046,0.15991471215351813,0.35926294247382184
gpt-5-nano,zero-shot,255.05,151.85,460,473,364.0,2160,8.088888888888889,0.5544565217391305,0.32103594080338266,0.1685185185185185,0.3480036603536772
mistral-large-2411,CoT,274.15,150.61,460,473,266.0,2335,5.911111111111111,0.5959782608695652,0.3184143763213531,0.1139186295503212,0.3427704222470798
mistral-large-2411,CoT-multi,260.48,134.82999999999998,460,473,319.0,2315,7.088888888888889,0.5662608695652175,0.28505285412262155,0.13779697624190065,0.32970356664324657
mistral-large-2411,one-shot,270.79,162.88,460,473,384.0,2310,8.533333333333333,0.5886739130434783,0.3443551797040169,0.16623376623376623,0.3664209529937538
mistral-large-2411,two-shots,287.34,177.11,460,473,428.0,2365,9.511111111111111,0.6246521739130434,0.37443974630021143,0.18097251585623678,0.39335481202316386
mistral-large-2411,zero-shot,272.52,175.1,460,473,400.0,2285,8.88888888888889,0.5924347826086956,0.3701902748414376,0.175054704595186,0.3792265873484397
mistral-small-2506,CoT,171.63,92.76,460,473,181.0,1385,4.022222222222222,0.3731086956521739,0.19610993657505285,0.13068592057761733,0.2333015176016147
mistral-small-2506,CoT-multi,237.82,145.62,460,473,373.0,2255,8.28888888888889,0.517,0.3078646934460888,0.16541019955654102,0.33009163100087663
mistral-small-2506,one-shot,197.73000000000002,134.0,460,473,324.0,1655,7.2,0.42984782608695654,0.2832980972515856,0.1957703927492447,0.3029721053625956
mistral-small-2506,two-shots,270.92,169.89,460,473,410.0,2275,9.11111111111111,0.5889565217391305,0.35917547568710356,0.18021978021978022,0.3761172592153381
mistral-small-2506,zero-shot,273.56,171.82,460,473,389.0,2290,8.644444444444444,0.5946956521739131,0.3632558139534884,0.16986899563318777,0.37594015392019636
o3-mini,CoT,278.93,156.26,460,473,219.0,2365,4.866666666666666,0.6063695652173913,0.33035940803382663,0.09260042283298098,0.34310979869473296
o3-mini,CoT-multi,264.98,155.5,460,473,406.0,2365,9.022222222222222,0.5760434782608697,0.3287526427061311,0.17167019027484143,0.35882210374728074
o3-mini,one-shot,268.14,174.76,460,473,429.0,2325,9.533333333333333,0.5829130434782609,0.36947145877378434,0.18451612903225806,0.3789668770947678
o3-mini,two-shots,262.2,176.45,460,473,466.0,2290,10.355555555555556,0.57,0.3730443974630021,0.2034934497816594,0.38217928241488713
o3-mini,zero-shot,264.42,173.42,460,473,462.0,2295,10.266666666666667,0.5748260869565218,0.36663847780126846,0.20130718954248367,0.38092391810009135
phi-4-8bit,CoT,249.35,149.82,460,473,349.0,2315,7.7555555555555555,0.5420652173913043,0.3167441860465116,0.150755939524838,0.33652178098755137
phi-4-8bit,CoT-multi,223.48,121.95,460,473,360.0,2365,8.0,0.48582608695652174,0.25782241014799157,0.1522198731501057,0.298622790084873
phi-4-8bit,one-shot,234.48,155.19,460,473,361.0,2150,8.022222222222222,0.5097391304347826,0.3280972515856237,0.16790697674418606,0.3352477862548641
phi-4-8bit,two-shots,251.99,158.73,460,473,365.0,2165,8.11111111111111,0.547804347826087,0.3355813953488372,0.16859122401847576,0.35065898906446663
phi-4-8bit,zero-shot,234.92000000000002,146.69,460,473,391.0,2170,8.688888888888888,0.5106956521739131,0.31012684989429173,0.18018433179723503,0.3336689446218133
