sub_folder_name,model_name,precision_class,recall_class,f1_class,n_classes,precision_rel,recall_rel,f1_rel,score_rel,max_score,n_rel
TeamSportsScoutingSystem,cot2-gpt-4o-mini,0.22,0.45,0.29,11,0.07,0.06,0.06,1,85,17
TeamSportsScoutingSystem,few-gpt-4o-mini,0.55,0.55,0.55,11,0.23,0.18,0.2,3,85,17
TeamSportsScoutingSystem,few2-gpt-4o-mini,0.5,0.55,0.52,11,0.18,0.12,0.14,2,85,17
TeamSportsScoutingSystem,few-o3-mini,0.54,0.64,0.58,11,0.2,0.18,0.19,5,85,17
TeamSportsScoutingSystem,claude-sonnet-4-5-20250929,0.33,0.45,0.38,11,0.17,0.24,0.2,7,85,17
TeamSportsScoutingSystem,cot-gpt-4o,0.43,0.55,0.48,11,0.07,0.06,0.06,1,85,17
TeamSportsScoutingSystem,few2-gpt-5-nano,0.58,0.64,0.61,11,0.31,0.24,0.27,5,85,17
TeamSportsScoutingSystem,few2-gpt-4o,0.67,0.55,0.6,11,0.25,0.12,0.16,6,85,17
TeamSportsScoutingSystem,gpt-3.5-turbo,0.62,0.45,0.53,11,0.09,0.06,0.07,1,85,17
TeamSportsScoutingSystem,few2-gpt-3.5-turbo,0.46,0.55,0.5,11,0.21,0.18,0.19,5,85,17
TeamSportsScoutingSystem,gpt-4o-mini,0.5,0.55,0.52,11,0.17,0.12,0.14,2,85,17
TeamSportsScoutingSystem,cot2-gpt-4o,0.47,0.64,0.54,11,0.29,0.24,0.26,7,85,17
TeamSportsScoutingSystem,cot2-gpt-5-nano,0.25,0.64,0.36,11,0,0,0,0,85,17
TeamSportsScoutingSystem,claude-3-7-sonnet-20250219,0.53,0.73,0.62,11,0.28,0.29,0.29,12,85,17
TeamSportsScoutingSystem,o3-mini,0.54,0.64,0.58,11,0.21,0.18,0.19,6,85,17
TeamSportsScoutingSystem,cot-gpt-4o-mini,0.38,0.27,0.32,11,0.11,0.06,0.08,3,85,17
TeamSportsScoutingSystem,cot-o3-mini,0.67,0.36,0.47,11,0.5,0.18,0.26,7,85,17
TeamSportsScoutingSystem,few-gpt-3.5-turbo,0.64,0.64,0.64,11,0.3,0.18,0.22,3,85,17
TeamSportsScoutingSystem,cot2-o3-mini,0.44,0.36,0.4,11,0.11,0.06,0.08,5,85,17
TeamSportsScoutingSystem,cot-gpt-5-nano,0.57,0.73,0.64,11,0.35,0.35,0.35,8,85,17
TeamSportsScoutingSystem,gpt-5-nano,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,17
TeamSportsScoutingSystem,cot2-gpt-4-turbo,0.6,0.55,0.57,11,0.62,0.47,0.53,13,85,17
TeamSportsScoutingSystem,cot2-gpt-3.5-turbo,0.43,0.55,0.48,11,0.1,0.06,0.07,3,85,17
TeamSportsScoutingSystem,few-gpt-4-turbo,0.56,0.45,0.5,11,0.1,0.06,0.07,1,85,17
TeamSportsScoutingSystem,few2-gpt-4-turbo,0.78,0.64,0.7,11,0.29,0.12,0.17,2,85,17
LabTracker,few-gpt-5-nano,0.75,0.5,0.6,12,0.22,0.17,0.19,2,60,12
LabTracker,gpt-5,0.64,0.58,0.61,12,0.15,0.17,0.16,6,60,12
LabTracker,few2-o3-mini,0.75,0.5,0.6,12,0.25,0.17,0.2,6,60,12
LabTracker,cot-gpt-3.5-turbo,0.86,0.5,0.63,12,0.25,0.17,0.2,8,60,12
LabTracker,cot-gpt-4-turbo,1.0,0.5,0.67,12,0.33,0.17,0.22,5,60,12
LabTracker,gpt-4-turbo,1.0,0.5,0.67,12,0.17,0.08,0.11,4,60,12
LabTracker,few-gpt-4o,0.75,0.5,0.6,12,0.25,0.17,0.2,6,60,12
LabTracker,gpt-4o,0.67,0.5,0.57,12,0.17,0.17,0.17,7,60,12
LabTracker,cot2-gpt-4o-mini,0.43,0.5,0.46,12,0.18,0.17,0.17,7,60,12
LabTracker,few-gpt-4o-mini,0.75,0.5,0.6,12,0.29,0.17,0.21,6,60,12
LabTracker,few2-gpt-4o-mini,0.75,0.5,0.6,12,0.22,0.17,0.19,6,60,12
LabTracker,few-o3-mini,0.75,0.5,0.6,12,0.25,0.17,0.2,8,60,12
LabTracker,claude-sonnet-4-5-20250929,0.6,0.5,0.55,12,0.2,0.17,0.18,8,60,12
LabTracker,cot-gpt-4o,0.75,0.5,0.6,12,0.25,0.33,0.29,11,60,12
LabTracker,few2-gpt-5-nano,0.67,0.5,0.57,12,0.2,0.17,0.18,8,60,12
LabTracker,few2-gpt-4o,0.67,0.5,0.57,12,0.29,0.17,0.21,6,60,12
LabTracker,gpt-3.5-turbo,0.86,0.5,0.63,12,0.4,0.17,0.24,6,60,12
LabTracker,few2-gpt-3.5-turbo,0.86,0.5,0.63,12,0.33,0.17,0.22,8,60,12
LabTracker,gpt-4o-mini,0.86,0.5,0.63,12,0.29,0.17,0.21,8,60,12
LabTracker,cot2-gpt-4o,0.6,0.5,0.55,12,0.15,0.17,0.16,5,60,12
LabTracker,cot2-gpt-5-nano,0.43,0.5,0.46,12,0.12,0.17,0.14,2,60,12
LabTracker,claude-3-7-sonnet-20250219,0.78,0.58,0.67,12,0.15,0.17,0.16,8,60,12
LabTracker,o3-mini,0.67,0.5,0.57,12,0.2,0.17,0.18,8,60,12
LabTracker,cot-gpt-4o-mini,1.0,0.5,0.67,12,0.2,0.08,0.12,3,60,12
LabTracker,cot-o3-mini,0.86,0.5,0.63,12,0.25,0.17,0.2,2,60,12
LabTracker,few-gpt-3.5-turbo,0.86,0.5,0.63,12,0.29,0.17,0.21,8,60,12
LabTracker,cot2-o3-mini,0.75,0.5,0.6,12,0.25,0.17,0.2,8,60,12
LabTracker,cot-gpt-5-nano,0.7,0.58,0.64,12,0.15,0.17,0.16,2,60,12
LabTracker,gpt-5-nano,0.86,0.5,0.63,12,0.29,0.17,0.21,8,60,12
LabTracker,cot2-gpt-4-turbo,0.67,0.5,0.57,12,0.22,0.17,0.19,8,60,12
LabTracker,cot2-gpt-3.5-turbo,0.86,0.5,0.63,12,0.25,0.08,0.12,2,60,12
LabTracker,few-gpt-4-turbo,0.86,0.5,0.63,12,0.29,0.17,0.21,2,60,12
LabTracker,few2-gpt-4-turbo,1.0,0.5,0.67,12,0.29,0.17,0.21,5,60,12
Sightseeing,few-gpt-5-nano,1.0,0.86,0.92,7,0.67,0.57,0.62,8,35,7
Sightseeing,gpt-5,0.83,0.71,0.77,7,0.6,0.43,0.5,7,35,7
Sightseeing,few2-o3-mini,1.0,0.86,0.92,7,0.67,0.57,0.62,9,35,7
Sightseeing,cot-gpt-3.5-turbo,1.0,0.86,0.92,7,1.0,0.86,0.92,8,35,7
Sightseeing,cot-gpt-4-turbo,1.0,0.71,0.83,7,1.0,0.57,0.73,6,35,7
Sightseeing,gpt-4-turbo,1.0,0.71,0.83,7,1.0,0.57,0.73,9,35,7
Sightseeing,few-gpt-4o,1.0,0.71,0.83,7,1.0,0.57,0.73,8,35,7
Sightseeing,gpt-4o,1.0,0.71,0.83,7,1.0,0.57,0.73,10,35,7
Sightseeing,cot2-gpt-4o-mini,0.86,0.86,0.86,7,0.67,0.57,0.62,8,35,7
Sightseeing,few-gpt-4o-mini,1.0,0.71,0.83,7,1.0,0.57,0.73,9,35,7
Sightseeing,few2-gpt-4o-mini,1.0,0.86,0.92,7,0.8,0.57,0.67,8,35,7
Sightseeing,few-o3-mini,1.0,0.86,0.92,7,0.67,0.57,0.62,8,35,7
Sightseeing,claude-sonnet-4-5-20250929,1.0,0.71,0.83,7,1.0,0.57,0.73,11,35,7
Sightseeing,cot-gpt-4o,1.0,0.86,0.92,7,1.0,0.86,0.92,7,35,7
Sightseeing,few2-gpt-5-nano,1.0,0.86,0.92,7,0.67,0.57,0.62,8,35,7
Sightseeing,few2-gpt-4o,1.0,0.71,0.83,7,1.0,0.57,0.73,9,35,7
Sightseeing,gpt-3.5-turbo,1.0,0.86,0.92,7,0.88,1.0,0.93,12,35,7
Sightseeing,few2-gpt-3.5-turbo,1.0,0.71,0.83,7,1.0,0.57,0.73,9,35,7
Sightseeing,gpt-4o-mini,1.0,0.86,0.92,7,1.0,1,1,13,35,7
Sightseeing,cot2-gpt-4o,1.0,0.71,0.83,7,1.0,0.57,0.73,8,35,7
Sightseeing,cot2-gpt-5-nano,0.78,1.0,0.88,7,0.57,0.57,0.57,4,35,7
Sightseeing,claude-3-7-sonnet-20250219,1.0,1.0,1.0,7,0.75,0.86,0.8,19,35,7
Sightseeing,o3-mini,1.0,1.0,1.0,7,0.75,0.86,0.8,18,35,7
Sightseeing,cot-gpt-4o-mini,1.0,0.71,0.83,7,1.0,0.57,0.73,6,35,7
Sightseeing,cot-o3-mini,1.0,0.71,0.83,7,1.0,0.57,0.73,6,35,7
Sightseeing,few-gpt-3.5-turbo,1.0,0.71,0.83,7,1.0,0.57,0.73,8,35,7
Sightseeing,cot2-o3-mini,1.0,0.71,0.83,7,1.0,0.57,0.73,10,35,7
Sightseeing,cot-gpt-5-nano,1.0,0.86,0.92,7,1.0,0.57,0.73,6,35,7
Sightseeing,gpt-5-nano,1.0,0.71,0.83,7,0.6,0.43,0.5,8,35,7
Sightseeing,cot2-gpt-4-turbo,1.0,0.86,0.92,7,0.67,0.57,0.62,6,35,7
Sightseeing,cot2-gpt-3.5-turbo,0.75,0.86,0.8,7,0.57,0.57,0.57,6,35,7
Sightseeing,few-gpt-4-turbo,1.0,0.71,0.83,7,1.0,0.57,0.73,8,35,7
Sightseeing,few2-gpt-4-turbo,1.0,0.71,0.83,7,1.0,0.57,0.73,8,35,7
EUScienceConnect,few-gpt-5-nano,0.83,0.5,0.62,10,0.2,0.14,0.17,3,35,7
EUScienceConnect,gpt-5,0.75,0.6,0.67,10,0.3,0.43,0.35,10,35,7
EUScienceConnect,few2-o3-mini,0.71,0.5,0.59,10,0.22,0.29,0.25,5,35,7
EUScienceConnect,cot-gpt-3.5-turbo,0.6,0.3,0.4,10,0.33,0.14,0.2,2,35,7
EUScienceConnect,cot-gpt-4-turbo,0.62,0.5,0.56,10,0.25,0.43,0.32,8,35,7
EUScienceConnect,gpt-4-turbo,0.86,0.6,0.71,10,0.5,0.43,0.46,7,35,7
EUScienceConnect,few-gpt-4o,0.71,0.5,0.59,10,0.12,0.14,0.13,3,35,7
EUScienceConnect,gpt-4o,0.62,0.5,0.56,10,0.31,0.57,0.4,7,35,7
EUScienceConnect,cot2-gpt-4o-mini,0.29,0.7,0.41,10,0.13,0.29,0.18,2,35,7
EUScienceConnect,few-gpt-4o-mini,0.71,0.5,0.59,10,0.29,0.29,0.29,6,35,7
EUScienceConnect,few2-gpt-4o-mini,0.86,0.6,0.71,10,0.2,0.14,0.17,3,35,7
EUScienceConnect,few-o3-mini,0.86,0.6,0.71,10,0.33,0.43,0.38,7,35,7
EUScienceConnect,claude-sonnet-4-5-20250929,0.86,0.6,0.71,10,0.56,0.71,0.63,9,35,7
EUScienceConnect,cot-gpt-4o,0.57,0.4,0.47,10,0.1,0.14,0.12,3,35,7
EUScienceConnect,few2-gpt-5-nano,0.86,0.6,0.71,10,0.5,0.43,0.46,7,35,7
EUScienceConnect,few2-gpt-4o,0.56,0.5,0.53,10,0.12,0.14,0.13,3,35,7
EUScienceConnect,gpt-3.5-turbo,0.71,0.5,0.59,10,0.4,0.57,0.47,8,35,7
EUScienceConnect,few2-gpt-3.5-turbo,0.6,0.3,0.4,10,0.2,0.14,0.17,3,35,7
EUScienceConnect,gpt-4o-mini,0.86,0.6,0.71,10,0.62,0.71,0.67,8,35,7
EUScienceConnect,cot2-gpt-4o,0.71,0.5,0.59,10,0.11,0.14,0.12,2,35,7
EUScienceConnect,cot2-gpt-5-nano,0.5,0.5,0.5,10,0.1,0.29,0.15,4,35,7
EUScienceConnect,claude-3-7-sonnet-20250219,0.71,0.5,0.59,10,0.22,0.29,0.25,5,35,7
EUScienceConnect,o3-mini,0.71,0.5,0.59,10,0.29,0.29,0.29,5,35,7
EUScienceConnect,cot-gpt-4o-mini,0.8,0.4,0.53,10,0.4,0.29,0.33,3,35,7
EUScienceConnect,cot-o3-mini,0.86,0.6,0.71,10,0.5,0.43,0.46,3,35,7
EUScienceConnect,few-gpt-3.5-turbo,0.56,0.5,0.53,10,0,0,0,0,35,7
EUScienceConnect,cot2-o3-mini,0.86,0.6,0.71,10,0.5,0.43,0.46,6,35,7
EUScienceConnect,cot-gpt-5-nano,0.6,0.6,0.6,10,0.3,0.43,0.35,4,35,7
EUScienceConnect,gpt-5-nano,0.71,0.5,0.59,10,0.29,0.29,0.29,3,35,7
EUScienceConnect,cot2-gpt-4-turbo,0.43,0.6,0.5,10,0.13,0.29,0.18,4,35,7
EUScienceConnect,cot2-gpt-3.5-turbo,0.36,0.5,0.42,10,0.29,0.29,0.29,4,35,7
EUScienceConnect,few-gpt-4-turbo,0.86,0.6,0.71,10,0.29,0.29,0.29,6,35,7
EUScienceConnect,few2-gpt-4-turbo,0.86,0.6,0.71,10,0.4,0.29,0.33,4,35,7
Facepage,few-gpt-5-nano,1.0,0.6,0.75,10,0.67,0.22,0.33,4,45,9
Facepage,gpt-5,0.88,0.7,0.78,10,0.67,0.67,0.67,20,45,9
Facepage,few2-o3-mini,1.0,0.6,0.75,10,0.62,0.56,0.59,21,45,9
Facepage,cot-gpt-3.5-turbo,1.0,0.6,0.75,10,0.4,0.22,0.29,5,45,9
Facepage,cot-gpt-4-turbo,1.0,0.6,0.75,10,0.8,0.44,0.57,7,45,9
Facepage,gpt-4-turbo,1.0,0.6,0.75,10,0.62,0.56,0.59,21,45,9
Facepage,few-gpt-4o,1.0,0.6,0.75,10,0.67,0.44,0.53,6,45,9
Facepage,gpt-4o,0.86,0.6,0.71,10,0.62,0.56,0.59,12,45,9
Facepage,cot2-gpt-4o-mini,0.54,0.7,0.61,10,0.36,0.44,0.4,6,45,9
Facepage,few-gpt-4o-mini,1.0,0.6,0.75,10,0.67,0.44,0.53,7,45,9
Facepage,few2-gpt-4o-mini,1.0,0.6,0.75,10,0.57,0.44,0.5,8,45,9
Facepage,few-o3-mini,1.0,0.5,0.67,10,0.14,0.11,0.12,1,45,9
Facepage,claude-sonnet-4-5-20250929,1.0,0.7,0.82,10,0.71,0.56,0.63,16,45,9
Facepage,cot-gpt-4o,0.75,0.6,0.67,10,0.57,0.44,0.5,6,45,9
Facepage,few2-gpt-5-nano,0.86,0.6,0.71,10,0.67,0.44,0.53,13,45,9
Facepage,few2-gpt-4o,1.0,0.6,0.75,10,0.67,0.44,0.53,8,45,9
Facepage,gpt-3.5-turbo,1.0,0.3,0.46,10,0.5,0.11,0.18,3,45,9
Facepage,few2-gpt-3.5-turbo,1.0,0.6,0.75,10,0.5,0.22,0.31,6,45,9
Facepage,gpt-4o-mini,1.0,0.6,0.75,10,0.4,0.22,0.29,6,45,9
Facepage,cot2-gpt-4o,0.55,0.6,0.57,10,0.33,0.22,0.27,6,45,9
Facepage,cot2-gpt-5-nano,0.47,0.8,0.59,10,0.33,0.56,0.42,9,45,9
Facepage,claude-3-7-sonnet-20250219,1.0,0.6,0.75,10,0.67,0.44,0.53,18,45,9
Facepage,o3-mini,1.0,0.6,0.75,10,0.62,0.56,0.59,21,45,9
Facepage,cot-gpt-4o-mini,1.0,0.6,0.75,10,0.8,0.44,0.57,6,45,9
Facepage,cot-o3-mini,1.0,0.6,0.75,10,0.5,0.22,0.31,4,45,9
Facepage,few-gpt-3.5-turbo,1.0,0.6,0.75,10,0.67,0.44,0.53,8,45,9
Facepage,cot2-o3-mini,1.0,0.6,0.75,10,0.5,0.22,0.31,6,45,9
Facepage,cot-gpt-5-nano,1.0,0.6,0.75,10,0.71,0.56,0.63,7,45,9
Facepage,gpt-5-nano,0.86,0.6,0.71,10,0.33,0.22,0.27,4,45,9
Facepage,cot2-gpt-4-turbo,0.67,0.8,0.73,10,0.25,0.22,0.24,5,45,9
Facepage,cot2-gpt-3.5-turbo,0.67,0.6,0.63,10,0.5,0.44,0.47,6,45,9
Facepage,few-gpt-4-turbo,1.0,0.6,0.75,10,0.8,0.44,0.57,18,45,9
Facepage,few2-gpt-4-turbo,1.0,0.4,0.57,10,0.67,0.22,0.33,4,45,9
BuildingManagement,few-gpt-5-nano,0.4,0.67,0.5,12,0.26,0.62,0.37,19,40,8
BuildingManagement,gpt-5,0.67,0.5,0.57,12,0.18,0.25,0.21,2,40,8
BuildingManagement,few2-o3-mini,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,8
BuildingManagement,cot-gpt-3.5-turbo,1.0,0.58,0.74,12,0.43,0.38,0.4,7,40,8
BuildingManagement,cot-gpt-4-turbo,1.0,0.5,0.67,12,0.5,0.38,0.43,7,40,8
BuildingManagement,gpt-4-turbo,0.86,0.5,0.63,12,0.56,0.62,0.59,9,40,8
BuildingManagement,few-gpt-4o,0.67,0.5,0.57,12,0.29,0.25,0.27,6,40,8
BuildingManagement,gpt-4o,0.88,0.58,0.7,12,0.33,0.38,0.35,9,40,8
BuildingManagement,cot2-gpt-4o-mini,0.3,0.58,0.4,12,0.12,0.25,0.16,8,40,8
BuildingManagement,few-gpt-4o-mini,0.78,0.58,0.67,12,0.44,0.5,0.47,12,40,8
BuildingManagement,few2-gpt-4o-mini,0.67,0.5,0.57,12,0.38,0.38,0.38,7,40,8
BuildingManagement,few-o3-mini,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,8
BuildingManagement,claude-sonnet-4-5-20250929,0.67,0.5,0.57,12,0.27,0.38,0.32,13,40,8
BuildingManagement,cot-gpt-4o,0.88,0.58,0.7,12,0.2,0.25,0.22,2,40,8
BuildingManagement,few2-gpt-5-nano,0.67,0.5,0.57,12,0.4,0.5,0.44,8,40,8
BuildingManagement,few2-gpt-4o,0.86,0.5,0.63,12,0.38,0.38,0.38,7,40,8
BuildingManagement,gpt-3.5-turbo,0.75,0.5,0.6,12,0.43,0.38,0.4,7,40,8
BuildingManagement,few2-gpt-3.5-turbo,0.86,0.5,0.63,12,0.12,0.12,0.12,5,40,8
BuildingManagement,gpt-4o-mini,0.71,0.42,0.53,12,0.43,0.38,0.4,9,40,8
BuildingManagement,cot2-gpt-4o,0.75,0.5,0.6,12,0.43,0.38,0.4,7,40,8
BuildingManagement,cot2-gpt-5-nano,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,8
BuildingManagement,claude-3-7-sonnet-20250219,0.89,0.67,0.76,12,0.4,0.5,0.44,18,40,8
BuildingManagement,o3-mini,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,8
BuildingManagement,cot-gpt-4o-mini,0.86,0.5,0.63,12,0.6,0.38,0.46,7,40,8
BuildingManagement,cot-o3-mini,1.0,0.5,0.67,12,0.29,0.25,0.27,2,40,8
BuildingManagement,few-gpt-3.5-turbo,0.75,0.5,0.6,12,0.22,0.25,0.24,6,40,8
BuildingManagement,cot2-o3-mini,0.86,0.5,0.63,12,0.29,0.25,0.27,8,40,8
BuildingManagement,cot-gpt-5-nano,0.75,0.5,0.6,12,0.4,0.5,0.44,6,40,8
BuildingManagement,gpt-5-nano,0.78,0.58,0.67,12,0.5,0.62,0.56,15,40,8
BuildingManagement,cot2-gpt-4-turbo,1.0,0.58,0.74,12,0.43,0.38,0.4,7,40,8
BuildingManagement,cot2-gpt-3.5-turbo,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,8
BuildingManagement,few-gpt-4-turbo,1.0,0.58,0.74,12,0.45,0.62,0.53,15,40,8
BuildingManagement,few2-gpt-4-turbo,0.86,0.5,0.63,12,0.71,0.62,0.67,11,40,8
PizzaDeliveryWithEntertainment,few-gpt-5-nano,0.67,0.67,0.67,9,0.56,0.42,0.48,9,60,12
PizzaDeliveryWithEntertainment,gpt-5,0.78,0.78,0.78,9,0.67,0.67,0.67,21,60,12
PizzaDeliveryWithEntertainment,few2-o3-mini,0.86,0.67,0.75,9,0.88,0.58,0.7,14,60,12
PizzaDeliveryWithEntertainment,cot-gpt-3.5-turbo,0.86,0.67,0.75,9,0.6,0.25,0.35,5,60,12
PizzaDeliveryWithEntertainment,cot-gpt-4-turbo,0.86,0.67,0.75,9,0.57,0.33,0.42,6,60,12
PizzaDeliveryWithEntertainment,gpt-4-turbo,1.0,0.89,0.94,9,1.0,0.83,0.91,17,60,12
PizzaDeliveryWithEntertainment,few-gpt-4o,0.75,0.67,0.71,9,0.6,0.5,0.55,12,60,12
PizzaDeliveryWithEntertainment,gpt-4o,0.88,0.78,0.82,9,0.64,0.58,0.61,12,60,12
PizzaDeliveryWithEntertainment,cot2-gpt-4o-mini,0.25,0.78,0.38,9,0.27,0.5,0.35,13,60,12
PizzaDeliveryWithEntertainment,few-gpt-4o-mini,0.78,0.78,0.78,9,0.7,0.58,0.64,12,60,12
PizzaDeliveryWithEntertainment,few2-gpt-4o-mini,0.54,0.78,0.64,9,0.42,0.42,0.42,12,60,12
PizzaDeliveryWithEntertainment,few-o3-mini,0.86,0.67,0.75,9,0.86,0.5,0.63,11,60,12
PizzaDeliveryWithEntertainment,claude-sonnet-4-5-20250929,0.67,0.67,0.67,9,0.45,0.42,0.43,7,60,12
PizzaDeliveryWithEntertainment,cot-gpt-4o,0.75,0.67,0.71,9,0.55,0.5,0.52,12,60,12
PizzaDeliveryWithEntertainment,few2-gpt-5-nano,0.75,0.67,0.71,9,0.42,0.42,0.42,7,60,12
PizzaDeliveryWithEntertainment,few2-gpt-4o,0.75,0.67,0.71,9,0.6,0.5,0.55,11,60,12
PizzaDeliveryWithEntertainment,gpt-3.5-turbo,0.19,0.67,0.3,9,0.12,0.25,0.16,9,60,12
PizzaDeliveryWithEntertainment,few2-gpt-3.5-turbo,0.75,0.67,0.71,9,0.62,0.42,0.5,9,60,12
PizzaDeliveryWithEntertainment,gpt-4o-mini,0.88,0.78,0.82,9,0.75,0.5,0.6,10,60,12
PizzaDeliveryWithEntertainment,cot2-gpt-4o,0.55,0.67,0.6,9,0.22,0.17,0.19,3,60,12
PizzaDeliveryWithEntertainment,cot2-gpt-5-nano,0.29,0.78,0.42,9,0.15,0.33,0.21,6,60,12
PizzaDeliveryWithEntertainment,claude-3-7-sonnet-20250219,0.78,0.78,0.78,9,0.67,0.67,0.67,14,60,12
PizzaDeliveryWithEntertainment,o3-mini,0.78,0.78,0.78,9,0.67,0.67,0.67,24,60,12
PizzaDeliveryWithEntertainment,cot-gpt-4o-mini,1.0,0.78,0.88,9,0.88,0.58,0.7,13,60,12
PizzaDeliveryWithEntertainment,cot-o3-mini,0.75,0.67,0.71,9,0.83,0.42,0.56,9,60,12
PizzaDeliveryWithEntertainment,few-gpt-3.5-turbo,0.75,0.67,0.71,9,0.56,0.42,0.48,9,60,12
PizzaDeliveryWithEntertainment,cot2-o3-mini,0.78,0.78,0.78,9,0.71,0.42,0.53,9,60,12
PizzaDeliveryWithEntertainment,cot-gpt-5-nano,0.64,0.78,0.7,9,0.53,0.67,0.59,11,60,12
PizzaDeliveryWithEntertainment,gpt-5-nano,0.6,0.67,0.63,9,0.22,0.17,0.19,4,60,12
PizzaDeliveryWithEntertainment,cot2-gpt-4-turbo,0.67,0.89,0.76,9,0.71,0.83,0.77,19,60,12
PizzaDeliveryWithEntertainment,cot2-gpt-3.5-turbo,0.55,0.67,0.6,9,0.5,0.33,0.4,8,60,12
PizzaDeliveryWithEntertainment,few-gpt-4-turbo,1.0,0.89,0.94,9,1.0,0.83,0.91,19,60,12
PizzaDeliveryWithEntertainment,few2-gpt-4-turbo,0.88,0.78,0.82,9,0.7,0.58,0.64,12,60,12
TileOGame,few-gpt-5-nano,0.64,0.35,0.45,20,0.33,0.24,0.28,13,85,17
